case_id,dice,iou,sensitivity,specificity,precision,area_error,boundary_distance_proxy,mean_probability_inside_pred,empty_prediction
tensor(1406),0.36463016839139,0.22296495957711085,0.9199288256263377,0.9298366482946623,0.2273776800524752,3.0458185052025883,25.6907412607653,0.8878903985023499,False
tensor(571),0.9410590943976949,0.8886795187713742,0.9908953776533191,0.9745342207591133,0.8959957131727592,0.1059153108495533,9.46062194957074,0.9351316690444946,False
tensor(451),0.8604955920900033,0.7551489806599313,0.9110746720489967,0.9621695322610901,0.8152370203170698,0.11755802219905677,7.702828008032054,0.9218119382858276,False
tensor(180),0.957362939389633,0.9182130345811168,0.9510687982757281,0.9866425266546146,0.9637409443373849,0.013148913238680981,4.640433786408989,0.944920003414154,False
tensor(633),0.7882293398901871,0.6504773269731445,0.8735576923097186,0.9777454242928684,0.7180872085401385,0.2165064102529406,16.487087778015557,0.9128353595733643,False
tensor(207),0.5735469107590522,0.40207905544915196,0.9827478042665386,0.9535943232673935,0.4049373142121631,1.426913425300285,19.403740683222882,0.9169782996177673,False
tensor(578),0.9352552969782298,0.8783845501406721,0.9769601973804399,0.9586712810166375,0.896965255338629,0.08918399187224997,9.192457039864244,0.9437374472618103,False
tensor(987),0.8747802709143337,0.7774306193755297,0.9594012247684418,0.9894684205692467,0.8038768529113668,0.19346790655038631,8.549119118877904,0.9418142437934875,False
tensor(1335),0.8573633308185449,0.7503376654568228,0.7679712460071025,0.9890476463177341,0.9703074056824628,0.2085278938307676,15.002528309614974,0.9168297052383423,False
tensor(17),0.5114493799635476,0.3435888394263517,0.36286193092187474,0.985108381324322,0.8661111111125986,0.5810445954725768,26.672237407130627,0.9523909687995911,False
tensor(1113),0.3976847122982898,0.24819379516577145,0.8374760994341551,0.9504825138573688,0.2607530882681835,2.211759082112249,33.01289161520348,0.8059974908828735,False
tensor(429),0.7482831114243288,0.5978053969365378,0.7197357778414702,0.9840706660209471,0.7791885580884532,0.07630088972666081,12.793914468580642,0.9098600149154663,False
tensor(821),0.908858254282555,0.8329424273701944,0.8619183224391239,0.9849646143948293,0.9612053410322584,0.10329428515920233,10.415422641017896,0.9190198183059692,False
tensor(1051),0.9565771651662376,0.9167684789252862,1.0,0.9806258961263872,0.9167684789252862,0.09078793936314739,2.9569253012650956,0.9619694352149963,False
tensor(480),0.7509051947101496,0.6011594888807315,0.6966477000089351,0.9736143851138515,0.8143280711610359,0.14451223692229717,11.971833960004343,0.8953167200088501,False
tensor(956),0.5098678565341525,0.34216284694987714,0.9867153769516203,0.942931310306027,0.3437463843648762,1.870474925211874,23.510098221792948,0.9083846807479858,False
tensor(834),0.9530012050974257,0.9102218739290286,0.9186811013894969,0.9977120882063043,0.989985084167963,0.07202531019787421,5.777250200023861,0.9451528787612915,False
tensor(1283),0.8991014120672703,0.8166977611957398,0.8970286885256452,0.989637305699493,0.9011837364909812,0.004610655737657677,9.848869266134502,0.9396860599517822,False
tensor(937),0.6345061688123604,0.46467157472545484,0.5311475409887305,0.9859624664879507,0.7878100178345305,0.32579234972321536,18.922963475458438,0.8562336564064026,False
tensor(527),0.5173537221530341,0.34893941318595467,0.352847491588911,0.9931307211167413,0.9692351114876571,0.6359526317125126,31.434461004733393,0.8746996521949768,False
tensor(1252),0.9663557904153488,0.934901759671993,0.9691009369394342,0.9847722054715157,0.9636261521690058,0.0056814406272653285,3.002871012415915,0.96052086353302,False
tensor(99),0.32152761271032104,0.19155966767562416,0.6416317495482518,0.6688727702201993,0.21451037399441122,1.991145545086638,49.594696368568314,0.9398416876792908,False
tensor(869),0.3414956982566846,0.2059058260809333,0.30317273803723005,0.9960413199539178,0.39090909100137744,0.22444183311111143,9.348146650850568,0.7639046311378479,False
tensor(23),0.35636980972145305,0.2168187295609536,0.49920729291023375,0.8576071413096832,0.2770872291316847,0.8016250495362501,39.18251558438995,0.9380890727043152,False
tensor(692),0.9543930839804411,0.9127647009203343,0.9913864198662935,0.9897253161651495,0.9200612296970826,0.07752222120335817,2.508847197402657,0.9576099514961243,False
tensor(806),0.18252568858039442,0.10042820822226396,0.830658550092382,0.8693845496208789,0.10252732241050186,7.101826230929617,38.41523400448944,0.8854885697364807,False
tensor(702),0.9718531396167642,0.9452473932125076,0.9935257278267031,0.9846765183831192,0.9511058899783233,0.0446005416382676,2.3166626849562357,0.961005687713623,False
tensor(618),0.8944873357727958,0.8091154128936752,0.9815695600481102,0.9927602084090706,0.8215974122960538,0.19470868013689926,5.79224522554717,0.947115957736969,False
tensor(1303),0.8746171750585734,0.7771730256366561,0.8294510601229773,0.9864060574044886,0.9249854246296237,0.10328202149228416,11.846556740033304,0.8998474478721619,False
tensor(775),0.6366450886583248,0.46696944674006685,0.4675968992266405,0.9994684838160144,0.9971346704871271,0.5310594315227182,27.50900991503046,0.9220131635665894,False
tensor(1446),0.5628321772826387,0.3916259245355747,0.5625450180098287,0.9151971075345052,0.5631196298770467,0.0010204081632591811,20.603893790428323,0.8324064612388611,False
tensor(777),0.6299983338894743,0.459852239216017,0.47492699469502647,0.9852026136379952,0.9354319995056254,0.4922912676217782,24.04365005102603,0.9029635190963745,False
tensor(508),0.8419452887564683,0.7270341207428687,0.8447983734379939,0.9951935162746783,0.8391114103049777,0.0067773636053277755,16.35498306820086,0.9462888836860657,False
